"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"724","Tom Wilson","WSH","R","82","919.7","7","14","12","2","21","53.85","97","7.22","8.99","186","137","111","52","3","9","115","42","35","5","2","30","17","14","246","141","30","6","6","50.00"
"90","Tomas Fleischmann","CHI, MTL","L","76","998.7","13","10","7","3","23","62.16","113","11.50","10.54","194","147","102","44","9","14","32","16","16","0","0","13","13","33","37","74","15","17","17","50.00"
"725","Tomas Hertl","S.J","C","81","1158","18","21","10","11","39","66.10","180","10.00","17.52","313","237","200","122","12","22","20","10","10","0","0","22","38","34","90","105","60","218","174","55.61"
"646","Tomas Jurco","DET","L","44","385.71666666667","4","2","2","0","6","60.00","38","10.53","3.45","71","53","42","17","2","3","16","8","8","0","0","6","7","6","49","33","4","1","0","100.00"
"849","Tomas Nosek","DET","L","6","51.666666666667","0","0","0","0","0","-","2","0.00","0.14","4","3","1","0","0","0","2","1","1","0","0","0","0","2","6","12","0","3","2","60.00"
"76","Tomas Plekanec","MTL","C","82","1165.9333333333","13","28","15","13","41","73.21","142","9.15","11.53","239","187","125","49","13","11","24","12","12","0","0","11","38","10","56","58","35","615","621","49.76"
"468","Tomas Tatar","DET","L","81","970.98333333333","14","16","10","6","30","66.67","137","10.22","12.8","242","190","154","63","9","10","14","7","7","0","0","14","20","30","72","71","18","6","17","26.09"
"318","Tommy Cross","BOS","D","3","33.483333333333","0","0","0","0","0","0.00","0","-","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","-"
"420","Tommy Wingels","S.J","C","68","801.38333333333","6","7","4","3","13","65.00","99","6.06","9.7","161","141","107","43","7","11","28","14","14","0","0","29","25","18","195","97","45","29","31","48.33"
"700","Torey Krug","BOS","D","81","1431.25","3","21","15","6","24","38.10","173","1.73","6.53","331","234","98","15","5","21","29","13","12","1","0","13","44","17","57","77","83","2","0","100.00"
