Name,G,A,Pts,PIM,PPP,SOG,HIT,BLOCKS,+/-
Brady Skjei,6,23,29,44,3,140,166,111,-5
Brent Seabrook,5,24,29,34,9,142,105,161,-2
Ryan Hartman,14,15,29,73,1,147,112,37,1
Corey Perry,12,16,28,50,9,125,46,25,-4
Justin Schultz,6,22,28,16,8,98,42,85,9
Dylan Cozens,11,17,28,20,4,120,50,30,2
Michael Grabner,18,10,28,18,1,115,34,26,7
Alex Chiasson,15,13,28,36,8,110,80,29,-3
Carl Grundstrom,15,13,28,30,4,133,177,15,-12
Alexandre Texier,14,14,28,16,6,91,52,20,-3
Trevor Moore,11,17,28,18,2,104,60,28,4
Marc-Edouard Vlasic,6,22,28,22,3,127,23,137,1
Mark Jankowski,15,13,28,22,1,109,33,54,1
Nick Bonino,13,15,28,18,3,109,29,73,8
Brock McGinn,13,15,28,20,1,141,137,28,-1
Scott Laughton,12,16,28,51,0,128,149,39,-7
Colin Wilson,11,16,27,10,6,99,49,27,-2
Nate Schmidt,6,21,27,14,8,112,48,102,16
Anthony DeAngelo,5,22,27,67,14,129,63,94,-10
Hampus Lindholm,8,19,27,40,6,122,90,116,4
Ryan Poehling,7,20,27,32,2,90,70,40,4
Brett Howden,9,18,27,16,2,83,72,54,-11
Joel Farabee,13,14,27,42,0,125,80,30,4
Christian Fischer,13,14,27,20,4,135,117,21,-10
Henrik Borgstrom,12,15,27,6,10,91,18,20,-9
Mason Appleton,11,16,27,16,0,93,89,38,8
Andrew Copp,10,17,27,10,0,89,85,43,10
Matt Niskanen,7,20,27,38,3,140,149,116,6
Brendan Leipsic,8,18,26,20,2,99,50,28,-4
Anthony Duclair,14,12,26,14,5,109,33,28,-4
Ty Smith,3,23,26,20,3,70,40,70,-1
Zach Aston-Reese,13,13,26,39,0,128,247,57,6
Dillon Dube,10,16,26,20,0,97,40,12,6
Vitali Kravtsov,10,16,26,12,3,110,50,30,-3
Kirby Dach,9,17,26,28,3,120,50,30,2
Dante Fabbro,7,19,26,36,2,107,85,96,1
Mattias Janmark,11,15,26,22,2,105,17,34,-2
Andrew Cogliano,10,16,26,28,0,142,73,31,7
Lucas Wallmark,9,17,26,32,5,126,87,34,-5
Milan Lucic,8,18,26,79,5,102,237,22,-6
Sven Baertschi,12,13,25,14,11,92,36,27,-6
Andrew Ladd,12,13,25,32,1,111,91,39,-6
Carl Hagelin,9,16,25,26,0,124,77,25,5
Miles Wood,13,12,25,88,3,148,84,25,-6
Brendan Perlini,15,10,25,26,6,112,57,23,-6
Jakob Chychrun,7,18,25,34,6,124,105,100,-6
Nikolay Goldobin,10,15,25,14,6,105,16,19,-8
Adam Boqvist,8,17,25,8,3,110,30,60,-5
Alec Martinez,7,18,25,18,7,103,98,161,-5
Daniel Sprong,15,10,25,8,4,148,50,18,-9
Zack Smith,9,16,25,65,1,109,117,28,-6
Filip Zadina,12,13,25,12,6,134,45,23,-14
Matt Calvert,11,14,25,49,1,120,88,43,-8
Michael Matheson,8,17,25,46,4,151,62,130,-8
Joel Armia,12,12,24,18,4,127,95,28,-2
Josh Leivo,12,12,24,26,5,124,35,17,2
Sami Vatanen,5,19,24,28,8,119,76,97,-4
David Backes,9,15,24,41,6,127,138,28,1
Jesper Fast,9,15,24,24,0,74,117,45,-1
Dominik Kubalik,11,13,24,24,0,120,40,20,-3
Adam Lowry,12,12,24,31,3,101,196,45,5
Luke Kunin,12,12,24,42,1,126,106,44,-7
Jake Virtanen,13,11,24,45,2,142,155,33,-7
Michael Dal Colle,12,12,24,14,1,93,26,22,2
Kristian Vesalainen,8,16,24,18,0,90,20,20,-3
Jordan Greenway,11,13,24,26,0,106,58,41,-8
Lawson Crouse,11,13,24,66,0,123,258,43,-6
Leo Komarov,8,16,24,34,2,91,201,41,3
Drake Caggiula,12,11,23,30,2,107,142,29,-3
Casey Cizikas,11,12,23,31,0,95,133,62,3
Alexander Nylander,10,13,23,14,3,83,15,21,-7
Erik Johnson,6,17,23,36,2,138,112,130,3
Loui Eriksson,10,13,23,12,4,95,6,24,-7
Lukas Radil,12,11,23,24,0,87,64,19,7
Brandon Tanev,10,13,23,30,0,106,240,70,6
Oskar Sundqvist,9,14,23,22,0,99,101,29,-5
Brady Tkachuk,25,26,51,91,15,239,197,28,-15
